Title,Type,Num Bids,Current Bid,Buy Price,End Date,Link
carte graphique nvidia 64mb ms-8878 AGP,auction,0,5.5,,2020-11-23 19:30:00,https://www.ricardo.ch/de/a/carte-graphique-nvidia-64mb-ms-8878-agp-1145343460/
Zotac GeForce RTX 3090 Gaming Trinity,direct,,,1580.0,2020-11-24 14:43:00,https://www.ricardo.ch/de/a/zotac-geforce-rtx-3090-gaming-trinity-1144934484/
"Mining,Grafikkarten,Netzteil,Mainboard",hybrid,0,1799.0,2199.0,2020-11-20 10:50:00,https://www.ricardo.ch/de/a/mining-grafikkarten-netzteil-mainboard-1143239048/
MSI GEFORCE GTX 1070,hybrid,0,220.0,320.0,2020-11-24 04:37:00,https://www.ricardo.ch/de/a/msi-geforce-gtx-1070-1144140438/
2x ZOTAC GeForce GTX 780 OC 3GB,hybrid,0,105.0,150.0,2020-11-25 18:00:00,https://www.ricardo.ch/de/a/2x-zotac-geforce-gtx-780-oc-3gb-1144459390/
Gigabyte GVN 1060 Gaming,auction,0,99.0,,2020-11-18 20:59:00,https://www.ricardo.ch/de/a/gigabyte-gvn-1060-gaming-1144187106/
AMD / ATI Crossfire Bridge 9cm,direct,,,5.0,2020-11-21 20:58:00,https://www.ricardo.ch/de/a/amd-ati-crossfire-bridge-9cm-1144542596/
Asus Rog Strix RX 5700XT 8GB,hybrid,4,350.0,400.0,2020-11-20 19:00:00,https://www.ricardo.ch/de/a/asus-rog-strix-rx-5700xt-8gb-1144803844/
"NVIDIA Grafikkarte NVS 300, 512MB Ram",auction,0,1.0,,2020-11-28 19:14:00,https://www.ricardo.ch/de/a/nvidia-grafikkarte-nvs-300-512mb-ram-1145596148/
(107.107.107)Grafikkarte Gainward 7900GS,auction,0,40.0,,2020-11-18 19:43:28.609245,https://www.ricardo.ch/de/a/(107.107.107)grafikkarte-gainward-7900gs-1134684380/
Passive GeForce GTX 1050 4GB Gamer GraKa,direct,,,99.95,2020-11-22 19:32:00,https://www.ricardo.ch/de/a/passive-geforce-gtx-1050-4gb-gamer-graka-1144676082/
MSI Gaming GeForce GTX 1080 8GB,hybrid,0,320.0,400.0,2020-11-23 15:58:00,https://www.ricardo.ch/de/a/msi-gaming-geforce-gtx-1080-8gb-1142726814/
kabel 4 Pin Molex zu 6 Pin PCI-Express P,direct,,,2.95,2020-11-22 22:04:00,https://www.ricardo.ch/de/a/kabel-4-pin-molex-zu-6-pin-pci-express-p-1144711158/
MSI Radeon RX 580 Armor OC 8GB,hybrid,2,102.0,150.0,2020-11-20 11:02:00,https://www.ricardo.ch/de/a/msi-radeon-rx-580-armor-oc-8gb-1144764028/
Razer Core X eGPU Gehäuse Thunderbolt,direct,,,249.0,2020-11-22 20:04:00,https://www.ricardo.ch/de/a/razer-core-x-egpu-gehaeuse-thunderbolt-1145150234/
MSI AMD Vega 64 8GB - Grafikkarte,hybrid,2,219.0,299.0,2020-11-22 20:07:00,https://www.ricardo.ch/de/a/msi-amd-vega-64-8gb-grafikkarte-1145323984/
ASUS GeForce GTX 770 DirectCU II,hybrid,0,40.0,50.0,2020-11-25 15:30:00,https://www.ricardo.ch/de/a/asus-geforce-gtx-770-directcu-ii-1144504120/
EVGA GeForce GTX 1060 3GB SSC GAMING,hybrid,0,150.0,220.0,2020-11-22 15:03:00,https://www.ricardo.ch/de/a/evga-geforce-gtx-1060-3gb-ssc-gaming-1142482814/
ASUS Geforce RTX 2060S Dual O8G Evo,direct,,,399.0,2020-11-22 20:19:00,https://www.ricardo.ch/de/a/asus-geforce-rtx-2060s-dual-o8g-evo-1145176432/
ASUS PCI Graphik Karte ENGT430/DI/1GD3,hybrid,0,45.0,65.0,2020-11-23 07:46:00,https://www.ricardo.ch/de/a/asus-pci-graphik-karte-engt430-di-1gd3-1142018202/
NVIDIA GeForce GTX 1050 Ti - 4GB,auction,24,73.0,,2020-11-22 19:45:00,https://www.ricardo.ch/de/a/nvidia-geforce-gtx-1050-ti-4gb-1144925804/
Ab CHF 1.- NVIDIA NVS 300 512MB,hybrid,0,1.0,15.0,2020-11-21 14:00:00,https://www.ricardo.ch/de/a/ab-chf-1.-nvidia-nvs-300-512mb-1141811002/
Sapphire ATI Radeon HD 2600 PRO 512 MB,direct,,,67.95,2020-11-28 08:56:00,https://www.ricardo.ch/de/a/sapphire-ati-radeon-hd-2600-pro-512-mb-1128885640/
ASUS EN9400GT SILENT 512MB,auction,0,5.0,,2020-11-19 06:38:00,https://www.ricardo.ch/de/a/asus-en9400gt-silent-512mb-1142138318/
GIGABYTE GeForce GTX 1080 Windforce OC,hybrid,0,270.0,299.0,2020-11-21 08:50:00,https://www.ricardo.ch/de/a/gigabyte-geforce-gtx-1080-windforce-oc-1144853122/
3 Grafikkarten,auction,0,5.0,,2020-11-20 20:30:00,https://www.ricardo.ch/de/a/3-grafikkarten-1144907070/
Grafikkarte ASUS EN7600GS SILENT,auction,0,1.0,,2020-11-22 23:28:00,https://www.ricardo.ch/de/a/grafikkarte-asus-en7600gs-silent-1142919058/
Grafikkarte SFF PC AMD Radeon HD7470 1GB,direct,,,19.0,2020-11-22 12:42:00,https://www.ricardo.ch/de/a/grafikkarte-sff-pc-amd-radeon-hd7470-1gb-1143686858/
Gigabyte GTX 1050,direct,,,99.0,2020-11-24 14:07:00,https://www.ricardo.ch/de/a/gigabyte-gtx-1050-1144929714/
PCI-Express Grafikkarten-Stromkabel,direct,,,2.75,2020-11-22 17:30:00,https://www.ricardo.ch/de/a/pci-express-grafikkarten-stromkabel-1144653216/
"Grafikkarte, PNY NVIDIA Quadro P1000",hybrid,0,222.0,260.0,2020-11-21 20:21:00,https://www.ricardo.ch/de/a/grafikkarte-pny-nvidia-quadro-p1000-1143860024/
Ab CHF 1.- AMD ATI-102-C09003(B) HD6350,hybrid,0,1.0,15.0,2020-11-21 14:00:00,https://www.ricardo.ch/de/a/ab-chf-1.-amd-ati-102-c09003(b)-hd6350-1141812674/
PNY nVidia Quattro FX380 PCIe GDDR3 256M,auction,0,1.0,,2020-11-22 19:05:00,https://www.ricardo.ch/de/a/pny-nvidia-quattro-fx380-pcie-gddr3-256m-1141951084/
PNY nVidia Quattro FX380 PCIe GDDR3 256M,auction,0,1.0,,2020-11-22 18:59:00,https://www.ricardo.ch/de/a/pny-nvidia-quattro-fx380-pcie-gddr3-256m-1141950718/
TUF 3-RX5700XT-O8G-GAMING,auction,0,399.0,,2020-11-22 18:04:00,https://www.ricardo.ch/de/a/tuf-3-rx5700xt-o8g-gaming-1142340128/
HP QUADRO K4000 3GB GPU,hybrid,0,75.0,250.0,2020-11-22 19:19:00,https://www.ricardo.ch/de/a/hp-quadro-k4000-3gb-gpu-1143858548/
HP QUADRO K4000 3GB GPU,hybrid,0,75.0,250.0,2020-11-24 19:34:00,https://www.ricardo.ch/de/a/hp-quadro-k4000-3gb-gpu-1143859870/
Gigabyte GeForce RTX 3070 Eagle,hybrid,0,685.0,750.0,2020-11-19 20:00:00,https://www.ricardo.ch/de/a/gigabyte-geforce-rtx-3070-eagle-1144400224/
PNY GeForce GTX 970 4GB Graphics Card,hybrid,0,50.0,85.0,2020-11-21 17:35:00,https://www.ricardo.ch/de/a/pny-geforce-gtx-970-4gb-graphics-card-1144960412/
Gigabyte GT 730 Rev 1.1,auction,0,20.0,,2020-11-23 16:26:00,https://www.ricardo.ch/de/a/gigabyte-gt-730-rev-1.1-1138338292/
Grafikkarte PowerColor Radeon HD5770 1GB,auction,0,1.0,,2020-11-22 20:14:00,https://www.ricardo.ch/de/a/grafikkarte-powercolor-radeon-hd5770-1gb-1145169304/
Graphickarte AGP KYRO/Ati 64,direct,,,49.0,2020-11-22 09:26:00,https://www.ricardo.ch/de/a/graphickarte-agp-kyro-ati-64-1063743674/
MSI GeForce GTX 1060 ARMOR 6G OC,auction,0,120.0,,2020-11-25 08:32:00,https://www.ricardo.ch/de/a/msi-geforce-gtx-1060-armor-6g-oc-1142914972/
ASUS DUAL GeForce GTX 1060 3G,hybrid,0,159.0,160.0,2020-11-21 18:59:00,https://www.ricardo.ch/de/a/asus-dual-geforce-gtx-1060-3g-1145389068/
ASUS EAH5450 SILENT 1GB DDR2 (NEU),direct,,,20.0,2020-11-19 20:32:00,https://www.ricardo.ch/de/a/asus-eah5450-silent-1gb-ddr2-(neu)-1140568716/
Gigabyte RX5700 XT Gaming OC,direct,,,379.0,2020-11-22 19:00:00,https://www.ricardo.ch/de/a/gigabyte-rx5700-xt-gaming-oc-1141112984/
kabel 4 Pin Molex zu 6 Pin PCI-Express P,direct,,,2.95,2020-11-19 10:36:00,https://www.ricardo.ch/de/a/kabel-4-pin-molex-zu-6-pin-pci-express-p-1144131808/
Asus Strix GTX 980ti,direct,,,175.0,2020-11-22 22:35:00,https://www.ricardo.ch/de/a/asus-strix-gtx-980ti-1145319904/
Grafikkarte MSI GeForce GT710,auction,20,24.0,,2020-11-18 20:31:00,https://www.ricardo.ch/de/a/grafikkarte-msi-geforce-gt710-1144056444/
MSI GTX 960 GAMING 4G,hybrid,0,50.0,110.0,2020-11-19 19:29:00,https://www.ricardo.ch/de/a/msi-gtx-960-gaming-4g-1144373118/
ASUS STRIX R7 370 Grafikkarte,auction,0,189.0,,2020-11-22 09:26:00,https://www.ricardo.ch/de/a/asus-strix-r7-370-grafikkarte-1141869532/
